CAV,Other_CAV,Image_Index,Trust_Score
cav3,cav4,5,0.6
cav3,cav4,6,0.6
cav3,cav4,7,0.6
cav3,cav4,8,0.6
cav3,cav4,9,0.6
cav3,cav4,10,0.5246269206728382
cav3,cav4,11,0.6
cav3,cav4,12,0.6
cav3,cav4,13,0.6
cav3,cav4,14,0.6344811899854679
cav3,cav4,15,0.5694221595786373
cav3,cav4,16,0.6
cav3,cav4,17,0.6
cav3,cav4,18,0.6
cav4,cav1,1,0.15965803973634787
cav4,cav1,2,0.5346956302899418
cav4,cav1,3,0.6
cav4,cav1,4,0.6
cav4,cav1,5,0.6
cav4,cav1,6,0.6
cav4,cav1,7,0.6
cav4,cav1,8,0.5190105454901514
cav4,cav1,9,0.6
cav4,cav1,10,0.6
cav4,cav1,11,0.6
cav4,cav1,12,0.6
cav4,cav1,13,0.6
cav4,cav1,14,0.5317050517580969
cav4,cav1,15,0.6
cav4,cav1,16,0.6
cav4,cav1,17,0.6386954430493951
cav4,cav1,18,0.6
cav4,cav2,1,0.6
cav4,cav2,2,0.6
cav4,cav2,3,0.5767140867520714
cav4,cav2,4,0.6
cav4,cav2,5,0.6
cav4,cav2,6,0.6382981469018175
cav4,cav2,7,0.6
cav4,cav2,8,0.6
cav4,cav2,9,0.5141607245822877
cav4,cav2,10,0.6
cav4,cav2,11,0.6
cav4,cav2,12,0.6
cav4,cav2,13,0.6
cav4,cav2,14,0.6
cav4,cav2,15,0.6
cav4,cav2,16,0.6
cav4,cav2,17,0.6
cav4,cav2,18,0.6
cav4,cav3,1,0.5215294001312107
cav4,cav3,2,0.6
cav4,cav3,3,0.6
cav4,cav3,4,0.6
cav4,cav3,5,0.6
cav4,cav3,6,0.7225884922834336
cav4,cav3,7,0.6
cav4,cav3,8,0.6
cav4,cav3,9,0.5227442473977699
cav4,cav3,10,0.679600017630293
cav4,cav3,11,0.5453469465721106
cav4,cav3,12,0.6352339857276642
cav4,cav3,13,0.6
cav4,cav3,14,0.6
cav4,cav3,15,0.5135319352978864
cav4,cav3,16,0.5137676027203301
cav4,cav3,17,0.6817478239711537
cav4,cav3,18,0.6
